
<!-- saved from url=(0188)http://www.inmet.gov.br/projetos/rede/pesquisa/gera_serie_txt_mensal.php?&mRelEstacao=82331&btnProcesso=serie&mRelDtInicio=01/01/1990&mRelDtFim=31/12/2015&mAtributos=,,,,,,,1,,1,,,1,1,1,1, -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 82331</title>
   <!-- FACE BOX -->
   <script src="./Manaus_files/jquery.js.download" type="text/javascript"></script>
   <link href="./Manaus_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="./Manaus_files/facebox.js.download" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1990 a 31/12/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;NebulosidadeMedia;PrecipitacaoTotal;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82331;31/01/1990;0000;6.591398;234.3;30.525806;26.208387;23.122581;83.846774;
82331;28/02/1990;0000;7.571429;190;30.307143;26.09;23.114286;83.157407;
82331;31/03/1990;0000;7.043011;299.2;30.548387;26.055484;23.070968;84.758065;
82331;30/04/1990;0000;6.640449;236.4;30.343333;26.046897;22.91;84.836207;
82331;31/05/1990;0000;6.516129;244.6;31.2;26.776774;23.33871;82.225806;
82331;30/06/1990;0000;5.539326;89.3;31.296667;26.85931;23.236667;79.405172;
82331;31/07/1990;0000;;114.1;;;;;
82331;31/08/1990;0000;;72.3;;;;;
82331;30/09/1990;0000;;22.8;;;;;
82331;31/10/1990;0000;;56;;;;;
82331;30/11/1990;0000;;116.9;;;;;
82331;31/12/1990;0000;;167.3;;;;;
82331;31/01/1991;0000;7.793478;278.5;29.951613;26.176129;23.025806;84.5;
82331;28/02/1991;0000;7.107143;223.8;30.603571;26.494286;23.335714;83.080357;
82331;31/03/1991;0000;8.204301;309.2;29.964516;25.998065;23.119355;87.016129;
82331;30/04/1991;0000;7.444444;342.9;30.506667;26.137333;22.79;83.825;
82331;31/05/1991;0000;6.688172;322.2;30.241935;26.316774;23.135484;84.104839;
82331;30/06/1991;0000;6.388889;137.9;30.84;26.894;23.546667;80.916667;
82331;31/07/1991;0000;5.688172;173.9;30.854839;26.794194;23.032258;75.927419;
82331;31/08/1991;0000;3.971429;55.4;31.72;27.033913;22.912;71.521739;
82331;30/09/1991;0000;4.411111;39;32.536667;27.883333;23.27;70.358333;
82331;31/10/1991;0000;5.139785;79.4;32.812903;27.830968;23.63871;70.064516;
82331;30/11/1991;0000;4.844444;37.9;33.723333;28.709333;24.183333;66.733333;
82331;31/12/1991;0000;7.172043;137.9;32.06129;27.674839;24.158065;75.491935;
82331;31/01/1992;0000;6.945652;236.5;32.051613;27.386667;23.880645;77.933333;
82331;29/02/1992;0000;7.390805;262.7;31.227586;27.041379;23.544828;78.991379;
82331;31/03/1992;0000;7.719101;347.8;30.354839;26.191852;23.06129;84.657407;
82331;30/04/1992;0000;7.898876;218.6;31.47;27.074483;23.65;81.775862;
82331;31/05/1992;0000;5.688172;118.8;32.16129;27.123226;23.690323;76.95;
82331;30/06/1992;0000;3.188889;61;32.083333;27.095333;23.17;77.141667;
82331;31/07/1992;0000;4.430108;90.3;31.587097;27.093548;22.477419;72.483871;
82331;31/08/1992;0000;6.344086;100.3;31.26129;26.494194;22.229032;76.91129;
82331;30/09/1992;0000;5.022222;90;33.04;28.059333;23.653333;73.416667;
82331;31/10/1992;0000;5.247312;87.4;32.483871;27.689032;23.56129;75.33871;
82331;30/11/1992;0000;7.011111;71.2;32.226667;27.621333;23.69;77.258333;
82331;31/12/1992;0000;6.688172;265.6;30.306452;26.150968;22.867742;85.403226;
82331;31/01/1993;0000;6.322581;436.5;30.248387;26.043226;22.754839;85.862903;
82331;28/02/1993;0000;7.071429;617.4;29.889286;25.729286;22.425;85.455357;
82331;31/03/1993;0000;6.88172;229.3;30.103226;25.855484;22.73871;86.483871;
82331;30/04/1993;0000;6.766667;370.3;30.176667;26.048;22.893333;86.683333;
82331;31/05/1993;0000;5.344086;96.8;31.248387;27.17871;23.251613;81.282258;
82331;30/06/1993;0000;4.588889;61.5;31.37;27.311333;23.276667;77.816667;
82331;31/07/1993;0000;5.075269;34.6;31.390323;26.818065;22.793548;76.201613;
82331;31/08/1993;0000;5.142857;47.7;31.751613;27.427333;22.945161;74.2;
82331;30/09/1993;0000;5.988889;21.9;33.236667;28.068;23.86;70.875;
82331;31/10/1993;0000;7.129032;99.8;32.222581;26.987742;23.312903;81.466667;
82331;30/11/1993;0000;7.766667;256.3;31.153333;26.472;23.143333;87.258333;
82331;31/12/1993;0000;7.086022;251.3;30.954839;26.554194;23.109677;86.637097;
82331;31/01/1994;0000;8.354839;371.1;29.9;25.776129;22.490323;91.016129;
82331;28/02/1994;0000;8.035714;399.5;29.753571;25.771429;22.685714;89.883929;
82331;31/03/1994;0000;7.870968;259.5;30.587097;26.116774;23.067742;86.91129;
82331;30/04/1994;0000;6.944444;258.7;30.72;26.306;23.036667;85.658333;
82331;31/05/1994;0000;6.344086;174.2;30.622581;26.52129;23;84.806452;
82331;30/06/1994;0000;6.066667;125.2;30.226667;26.146;22.746667;84.625;
82331;31/07/1994;0000;4.27957;33;31.245161;26.726452;22.858065;78.491935;
82331;31/08/1994;0000;4.913978;96.7;32.322581;27.068387;22.887097;79.032258;
82331;30/09/1994;0000;5.449438;62.6;32.816667;27.639333;23.65;77.844828;
82331;31/10/1994;0000;5.150538;91.8;33.080645;28.036774;23.703226;75.935484;
82331;30/11/1994;0000;6.966667;207.3;32.753333;27.554;23.416667;79.166667;
82331;31/12/1994;0000;6.623656;222.5;31.219355;26.936129;23.151613;83.669355;
82331;31/01/1995;0000;6.709677;286;31.019355;24.516129;22.99375;82.459677;
82331;28/02/1995;0000;6.97619;132;30.971429;26.657857;23.496429;82.991071;
82331;31/03/1995;0000;7.268817;301.4;31.096774;26.674839;23.03871;84.306452;
82331;30/04/1995;0000;7.488889;480.5;30.593333;26.252667;22.94;86.725;
82331;31/05/1995;0000;6.935484;217.5;30.770968;26.261935;23.164516;86.741935;
82331;30/06/1995;0000;5.477778;107;30.846667;26.708667;23.153333;82.016667;
82331;31/07/1995;0000;3.860215;76.9;32.322581;27.568387;23.545161;75.943548;
82331;31/08/1995;0000;3.473118;34.2;33.532258;28.539355;24.393548;72.870968;
82331;30/09/1995;0000;3.644444;72.4;33.6;28.468;24.443333;75.391667;
