
<!-- saved from url=(0188)http://www.inmet.gov.br/projetos/rede/pesquisa/gera_serie_txt_mensal.php?&mRelEstacao=82598&btnProcesso=serie&mRelDtInicio=01/01/1990&mRelDtFim=31/12/2015&mAtributos=,,,,,,,1,,1,,,1,1,1,1, -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 82598</title>
   <!-- FACE BOX -->
   <script src="./Natal_files/jquery.js.download" type="text/javascript"></script>
   <link href="./Natal_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="./Natal_files/facebox.js.download" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1990 a 31/12/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;NebulosidadeMedia;PrecipitacaoTotal;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82598;31/01/1990;0000;5.630435;43.2;29.967742;27.144516;24.503226;73.83871;
82598;28/02/1990;0000;5.695122;17.9;30.208;27.26;23.972;75.847826;
82598;31/03/1990;0000;5.784946;47.1;30.54;27.651333;24.676667;75.741935;
82598;30/04/1990;0000;5.977778;141.2;30.386667;27.451333;24.543333;78.358333;
82598;31/05/1990;0000;5.634409;192.1;29.363333;26.357241;23.116667;82.258065;
82598;30/06/1990;0000;5.911111;280.7;28.356667;25.374667;22.203333;82.925;
82598;31/07/1990;0000;6.032258;167.3;28.186207;25.082963;21.744828;80.870968;
82598;31/08/1990;0000;6.580645;194.4;27.636667;24.576;21.56129;81.951613;
82598;30/09/1990;0000;5.744444;62.1;28.596667;25.773333;22.416667;73.966667;
82598;31/10/1990;0000;6.053763;22.7;29.216129;26.419355;23.970968;74.072581;
82598;30/11/1990;0000;6.444444;56.5;29.662069;26.752143;24.293103;74.466667;
82598;31/12/1990;0000;6.156627;1.2;30.178571;26.959048;23.730769;74.076087;
82598;31/01/1991;0000;6.55914;27.1;30.445161;27.609677;25.267742;74.572581;
82598;28/02/1991;0000;6.240964;16.4;30.642857;27.735714;25.135714;75.5;
82598;31/03/1991;0000;6.924731;106.1;30.354839;27.38129;24.667742;79.451613;
82598;30/04/1991;0000;6.179775;304.3;29.862069;26.935172;24.2;81.008333;
82598;31/05/1991;0000;6.923913;304.9;29.006452;25.917037;23.628571;84.475;
82598;30/06/1991;0000;6.511111;311.7;28.66;25.308966;22.623333;82.941667;
82598;31/07/1991;0000;6.16129;144.7;28;24.396667;21.554839;79.451613;
82598;31/08/1991;0000;5.88172;74.9;27.845161;24.308;21.193333;77.483871;
82598;30/09/1991;0000;5.566667;9.4;28.516667;25.348;22.57;76.858333;
82598;31/10/1991;0000;5.72043;23.6;29.045161;25.919355;23.577419;76.387097;
82598;30/11/1991;0000;5.944444;41.1;29.393333;26.532;24.313333;76.141667;
82598;31/01/1992;0000;6.684783;51.8;30.012903;27.379355;25.609677;78.258333;
82598;29/02/1992;0000;6.908046;182.3;29.885714;26.958571;24.424138;81.086207;
82598;31/03/1992;0000;6.892473;283;29.677419;26.653548;24.087097;82.556452;
82598;30/04/1992;0000;6.422222;315.3;29.773333;26.716;23.9;82.841667;
82598;31/05/1992;0000;6.010753;131.7;29.419355;26.494667;23.46129;80.290323;
82598;30/06/1992;0000;6.566667;280.3;28.158621;25.013793;22.296552;84.5;
82598;31/07/1992;0000;5.623656;80.4;27.883871;24.513793;21.07931;79.322581;
82598;31/08/1992;0000;6.182796;151.5;27.76129;24.527097;21.706452;80.137097;
82598;30/09/1992;0000;6.033333;14.5;28.566667;25.670714;23.41;77.775862;
82598;31/10/1992;0000;5.258065;3.9;29.187097;26.28;24.367742;72.846774;
82598;30/11/1992;0000;6.255556;26.7;29.275862;26.508148;24.7;75.043103;
82598;31/12/1992;0000;6;5.9;29.632258;26.8616;24.924138;74.572581;
82598;31/01/1993;0000;5.956989;21.6;29.845161;26.878065;24.816129;77.145161;
82598;28/02/1993;0000;5.547619;29.6;30.228571;27.363571;25.410714;76.3125;
82598;31/03/1993;0000;5.924731;85;30.464516;27.54129;25.041935;76.516667;
82598;30/04/1993;0000;6.155556;229.4;29.841379;27.024828;24.627586;81.533333;
82598;31/05/1993;0000;5.634409;34.9;29.735484;26.759259;24.016667;84.193548;
82598;30/06/1993;0000;5.711111;154;28.68;25.495862;22.66;87.216667;
82598;31/07/1993;0000;5.698925;129.8;28.174194;24.745185;21.146667;85.104839;
82598;31/08/1993;0000;5.01087;35.8;28.670968;25.457241;22.080645;81.403226;
82598;30/09/1993;0000;5.41573;10.9;29.293333;26.167586;22.975862;79.633333;
82598;31/10/1993;0000;5.763441;62.2;29.741935;26.4325;23.583871;79.927419;
82598;30/11/1993;0000;5.966667;15.5;29.896667;26.898;24.403333;81;
82598;31/12/1993;0000;5.741935;40.3;30.251613;27.294194;24.319355;79.66129;
82598;31/01/1994;0000;5.946237;94.5;30.193548;27.189677;24.206452;83.16129;
82598;28/02/1994;0000;5.857143;87;30.428571;27.577857;25.132143;81.276786;
82598;31/03/1994;0000;6.731183;242.6;30.880645;27.207742;24.525806;86.346774;
82598;30/04/1994;0000;6.6;275.7;30.033333;26.388;23.626667;86.958333;
82598;31/05/1994;0000;6.554348;279.1;29.548387;26.2168;23.590323;85.709677;
82598;30/06/1994;0000;7.269663;627.2;28.32;24.948571;22.416667;90.216667;
82598;31/07/1994;0000;6.836957;399.6;27.954839;24.6;21.145161;86.467742;
82598;31/08/1994;0000;5.634409;85.1;28.567742;25.142581;21.674194;81.193548;
82598;30/09/1994;0000;5.321839;57.2;28.77;25.515333;22.413333;80.341667;
82598;31/10/1994;0000;5.526882;3.8;29.658065;26.445806;23.687097;76.927419;
82598;30/11/1994;0000;5.555556;19.9;29.8;26.546667;23.526667;78.908333;
82598;31/12/1994;0000;;0.1;;;;;
