
<!-- saved from url=(0188)http://www.inmet.gov.br/projetos/rede/pesquisa/gera_serie_txt_mensal.php?&mRelEstacao=83781&btnProcesso=serie&mRelDtInicio=01/01/1990&mRelDtFim=31/12/2015&mAtributos=,,,,,,,1,,1,,,1,1,1,1, -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83781</title>
   <!-- FACE BOX -->
   <script src="./SaoPaulo_files/jquery.js.download" type="text/javascript"></script>
   <link href="./SaoPaulo_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="./SaoPaulo_files/facebox.js.download" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1990 a 31/12/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;NebulosidadeMedia;PrecipitacaoTotal;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83781;31/01/1990;0000;8.322581;280.7;29.296774;23.834194;20.016129;74.451613;
83781;28/02/1990;0000;8.178571;152.8;28.714286;23.082857;19.535714;73.741071;
83781;31/03/1990;0000;8.709677;228.8;28.770968;23.200645;19.719355;77.153226;
83781;30/04/1990;0000;7.011111;77.1;28.056667;22.788;19.013793;73.483333;
83781;31/05/1990;0000;7.365591;52.8;22.6;17.409032;13.687097;75.701613;
83781;30/06/1990;0000;8.088889;39.2;21.7;16.364;12.58;73.591667;
83781;31/07/1990;0000;18.471264;121;19.271429;14.797692;11.218519;81.932692;
83781;31/08/1990;0000;9.032258;49.6;21.409677;15.835484;11.645161;75.701613;
83781;30/09/1990;0000;9.088889;96.1;22.586667;16.738667;12.126667;72.433333;
83781;31/10/1990;0000;8.27957;117.6;26.509677;21.024516;16.883871;72.201613;
83781;30/11/1990;0000;8.655556;76;28.846667;22.842667;18.933333;74.083333;
83781;31/12/1990;0000;8.666667;124.7;27.651613;21.816129;17.941935;75.137097;
83781;31/01/1991;0000;9.182796;270.7;27.180645;21.996129;18.722581;78.887097;
83781;28/02/1991;0000;9.25;358;27.267857;21.851429;18.464286;79.267857;
83781;31/03/1991;0000;9.107527;451.3;25.290323;21.113548;18.448387;84.556452;
83781;30/04/1991;0000;8.966667;169;25.166667;20.28;16.96;79.683333;
83781;31/05/1991;0000;7.989247;34.2;23.293548;18.542581;14.809677;75.830645;
83781;30/06/1991;0000;7.233333;85.8;22.63;17.644;13.916667;75.925;
83781;31/07/1991;0000;7.057143;26.2;21.7;;12.496667;;
83781;31/08/1991;0000;7.988889;39.3;23.276667;17.463333;13.04;72.333333;
83781;30/09/1991;0000;7.888889;65.6;23.553333;17.446667;13.456667;74.858333;
83781;31/10/1991;0000;7.365591;153.9;25.76129;20.182581;16.206452;72.467742;
83781;30/11/1991;0000;7.5;48;27.063333;21.538;17.603333;72.633333;
